AcX = 15004 | AcY = -7112 | AcZ = 1984 | Tmp = 27.35 | GyX = 938 | GyY = -3259 | GyZ = 1527
AcX = 14672 | AcY = -6928 | AcZ = 2164 | Tmp = 27.17 | GyX = 403 | GyY = -655 | GyZ = 537
AcX = 14920 | AcY = -7564 | AcZ = 1772 | Tmp = 27.35 | GyX = 1540 | GyY = 1466 | GyZ = -1132
AcX = 16240 | AcY = -9608 | AcZ = 800 | Tmp = 27.26 | GyX = -2000 | GyY = 1291 | GyZ = -550
AcX = 16096 | AcY = -7868 | AcZ = -148 | Tmp = 27.45 | GyX = -29545 | GyY = -5267 | GyZ = -8664
AcX = 11424 | AcY = 2736 | AcZ = -1708 | Tmp = 27.35 | GyX = -25114 | GyY = 98 | GyZ = -18920
AcX = 10880 | AcY = 6400 | AcZ = 1496 | Tmp = 27.31 | GyX = 20913 | GyY = 10164 | GyZ = 11256
AcX = 15520 | AcY = -1604 | AcZ = 1020 | Tmp = 27.31 | GyX = -12830 | GyY = -928 | GyZ = -2093
AcX = 24012 | AcY = -980 | AcZ = 2796 | Tmp = 27.35 | GyX = -1121 | GyY = 2654 | GyZ = 7089
AcX = 18348 | AcY = 5792 | AcZ = 5164 | Tmp = 27.35 | GyX = 5488 | GyY = -10003 | GyZ = -8941
AcX = 9740 | AcY = 3340 | AcZ = -9428 | Tmp = 27.40 | GyX = 155 | GyY = 10127 | GyZ = -10553
AcX = 15664 | AcY = -5468 | AcZ = -8568 | Tmp = 27.21 | GyX = -32768 | GyY = 9938 | GyZ = -5790
AcX = 14108 | AcY = 12120 | AcZ = 9436 | Tmp = 27.31 | GyX = -6008 | GyY = -5435 | GyZ = -5415
AcX = 10324 | AcY = 17284 | AcZ = 2356 | Tmp = 27.40 | GyX = -5326 | GyY = 1286 | GyZ = -6424
AcX = 3596 | AcY = 18372 | AcZ = 3736 | Tmp = 27.31 | GyX = -2278 | GyY = -5048 | GyZ = -12547
AcX = -288 | AcY = 16960 | AcZ = -1520 | Tmp = 27.35 | GyX = 3912 | GyY = -7815 | GyZ = -4252
AcX = 6288 | AcY = 13504 | AcZ = 1892 | Tmp = 27.31 | GyX = -609 | GyY = -15863 | GyZ = 4737
AcX = 1468 | AcY = 17208 | AcZ = -2116 | Tmp = 27.40 | GyX = 9950 | GyY = -14587 | GyZ = 3200
AcX = 4488 | AcY = 18060 | AcZ = -5788 | Tmp = 27.35 | GyX = 11201 | GyY = -16510 | GyZ = 7018
AcX = -688 | AcY = 2628 | AcZ = -7372 | Tmp = 27.49 | GyX = 18245 | GyY = -20418 | GyZ = 14791
AcX = 852 | AcY = 9952 | AcZ = -7228 | Tmp = 27.35 | GyX = 6337 | GyY = 521 | GyZ = 9578
AcX = 1324 | AcY = 6892 | AcZ = -9884 | Tmp = 27.31 | GyX = 6910 | GyY = 10001 | GyZ = 12372
AcX = 10660 | AcY = -352 | AcZ = -27532 | Tmp = 27.35 | GyX = 3683 | GyY = -17541 | GyZ = -19480
AcX = 8168 | AcY = 404 | AcZ = -13552 | Tmp = 27.35 | GyX = -9232 | GyY = 9734 | GyZ = -654
AcX = 15020 | AcY = -1044 | AcZ = -16560 | Tmp = 27.35 | GyX = 2912 | GyY = -2893 | GyZ = 6051
AcX = 8288 | AcY = 13960 | AcZ = -3636 | Tmp = 27.26 | GyX = 5594 | GyY = 10632 | GyZ = 4286
AcX = 13424 | AcY = -740 | AcZ = -8464 | Tmp = 27.45 | GyX = -2418 | GyY = -292 | GyZ = 854
AcX = 12676 | AcY = -948 | AcZ = -9716 | Tmp = 27.26 | GyX = -1800 | GyY = -6144 | GyZ = 1966
AcX = 13584 | AcY = -1836 | AcZ = -9816 | Tmp = 27.31 | GyX = 2879 | GyY = 250 | GyZ = -610
AcX = 11508 | AcY = 1748 | AcZ = -12064 | Tmp = 27.31 | GyX = 4264 | GyY = -5304 | GyZ = -2790
AcX = 8928 | AcY = 1544 | AcZ = -10540 | Tmp = 27.35 | GyX = 7902 | GyY = -1047 | GyZ = -8630
AcX = 11072 | AcY = 1296 | AcZ = -6104 | Tmp = 27.35 | GyX = 8306 | GyY = 5972 | GyZ = -10122
AcX = 9200 | AcY = 1680 | AcZ = -4584 | Tmp = 27.35 | GyX = 3017 | GyY = 11175 | GyZ = -11767
AcX = 17144 | AcY = 76 | AcZ = -940 | Tmp = 27.31 | GyX = 5601 | GyY = 12336 | GyZ = -6983
AcX = 17236 | AcY = 5080 | AcZ = 5080 | Tmp = 27.26 | GyX = 5936 | GyY = 10909 | GyZ = -2174
AcX = 17332 | AcY = 1776 | AcZ = 6684 | Tmp = 27.31 | GyX = -151 | GyY = 13666 | GyZ = 4355
AcX = 19752 | AcY = 6576 | AcZ = 5116 | Tmp = 27.31 | GyX = 988 | GyY = 6623 | GyZ = 1427
AcX = 17528 | AcY = 3424 | AcZ = 9692 | Tmp = 27.31 | GyX = 305 | GyY = -3367 | GyZ = 1905
AcX = 13928 | AcY = 2236 | AcZ = 9948 | Tmp = 27.35 | GyX = 8296 | GyY = -4496 | GyZ = 6166
AcX = 15876 | AcY = -8036 | AcZ = 4356 | Tmp = 27.31 | GyX = 3385 | GyY = 4823 | GyZ = 10934
AcX = 23236 | AcY = -1164 | AcZ = 10824 | Tmp = 27.35 | GyX = -11857 | GyY = 1347 | GyZ = 7311
AcX = 10128 | AcY = -272 | AcZ = 8624 | Tmp = 27.40 | GyX = 14316 | GyY = -2218 | GyZ = 963
AcX = 5632 | AcY = -20484 | AcZ = 36 | Tmp = 27.31 | GyX = 11706 | GyY = -14592 | GyZ = 9737
AcX = 20740 | AcY = -1624 | AcZ = 8692 | Tmp = 27.31 | GyX = -19428 | GyY = 1407 | GyZ = -12056
AcX = 13684 | AcY = -10604 | AcZ = 2020 | Tmp = 27.31 | GyX = 3237 | GyY = 3703 | GyZ = 4212
AcX = 22188 | AcY = 4564 | AcZ = -12488 | Tmp = 27.21 | GyX = -23443 | GyY = 542 | GyZ = -32768
AcX = 11144 | AcY = 4712 | AcZ = 256 | Tmp = 27.31 | GyX = -15996 | GyY = -15767 | GyZ = 1401
AcX = 16104 | AcY = 9428 | AcZ = 5888 | Tmp = 27.35 | GyX = 5757 | GyY = 1165 | GyZ = -1047
AcX = 14232 | AcY = 19544 | AcZ = 4904 | Tmp = 27.35 | GyX = -4736 | GyY = 15666 | GyZ = -27774
AcX = 2016 | AcY = 6644 | AcZ = 2112 | Tmp = 27.31 | GyX = 3466 | GyY = 13245 | GyZ = 1418
