,AcX,AcY,AcZ,Tmp,GyX,GyY,GyZ,time_mark,status
0,15004.0,-7112.0,1984.0,27.35,938.0,-3259.0,1527.0,0.0,1
1,14672.0,-6928.0,2164.0,27.17,403.0,-655.0,537.0,0.2,1
2,14920.0,-7564.0,1772.0,27.35,1540.0,1466.0,-1132.0,0.4,1
3,16240.0,-9608.0,800.0,27.26,-2000.0,1291.0,-550.0,0.6000000000000001,1
4,16096.0,-7868.0,-148.0,27.45,-29545.0,-5267.0,-8664.0,0.8,1
5,11424.0,2736.0,-1708.0,27.35,-25114.0,98.0,-18920.0,1.0,1
6,10880.0,6400.0,1496.0,27.31,20913.0,10164.0,11256.0,1.2000000000000002,1
7,15520.0,-1604.0,1020.0,27.31,-12830.0,-928.0,-2093.0,1.4000000000000001,1
8,24012.0,-980.0,2796.0,27.35,-1121.0,2654.0,7089.0,1.6,1
9,18348.0,5792.0,5164.0,27.35,5488.0,-10003.0,-8941.0,1.8,1
10,9740.0,3340.0,-9428.0,27.4,155.0,10127.0,-10553.0,2.0,1
11,15664.0,-5468.0,-8568.0,27.21,-32768.0,9938.0,-5790.0,2.2,1
12,14108.0,12120.0,9436.0,27.31,-6008.0,-5435.0,-5415.0,2.4000000000000004,1
13,10324.0,17284.0,2356.0,27.4,-5326.0,1286.0,-6424.0,2.6,1
14,3596.0,18372.0,3736.0,27.31,-2278.0,-5048.0,-12547.0,2.8000000000000003,1
15,-288.0,16960.0,-1520.0,27.35,3912.0,-7815.0,-4252.0,3.0,1
16,6288.0,13504.0,1892.0,27.31,-609.0,-15863.0,4737.0,3.2,1
17,1468.0,17208.0,-2116.0,27.4,9950.0,-14587.0,3200.0,3.4000000000000004,1
18,4488.0,18060.0,-5788.0,27.35,11201.0,-16510.0,7018.0,3.6,1
19,-688.0,2628.0,-7372.0,27.49,18245.0,-20418.0,14791.0,3.8000000000000003,1
20,852.0,9952.0,-7228.0,27.35,6337.0,521.0,9578.0,4.0,1
21,1324.0,6892.0,-9884.0,27.31,6910.0,10001.0,12372.0,4.2,1
22,10660.0,-352.0,-27532.0,27.35,3683.0,-17541.0,-19480.0,4.4,1
23,8168.0,404.0,-13552.0,27.35,-9232.0,9734.0,-654.0,4.6000000000000005,1
24,15020.0,-1044.0,-16560.0,27.35,2912.0,-2893.0,6051.0,4.800000000000001,1
25,8288.0,13960.0,-3636.0,27.26,5594.0,10632.0,4286.0,5.0,1
26,13424.0,-740.0,-8464.0,27.45,-2418.0,-292.0,854.0,5.2,1
27,12676.0,-948.0,-9716.0,27.26,-1800.0,-6144.0,1966.0,5.4,1
28,13584.0,-1836.0,-9816.0,27.31,2879.0,250.0,-610.0,5.6000000000000005,1
29,11508.0,1748.0,-12064.0,27.31,4264.0,-5304.0,-2790.0,5.800000000000001,1
30,8928.0,1544.0,-10540.0,27.35,7902.0,-1047.0,-8630.0,6.0,1
31,11072.0,1296.0,-6104.0,27.35,8306.0,5972.0,-10122.0,6.2,1
32,9200.0,1680.0,-4584.0,27.35,3017.0,11175.0,-11767.0,6.4,1
33,17144.0,76.0,-940.0,27.31,5601.0,12336.0,-6983.0,6.6000000000000005,1
34,17236.0,5080.0,5080.0,27.26,5936.0,10909.0,-2174.0,6.800000000000001,1
35,17332.0,1776.0,6684.0,27.31,-151.0,13666.0,4355.0,7.0,1
36,19752.0,6576.0,5116.0,27.31,988.0,6623.0,1427.0,7.2,1
37,17528.0,3424.0,9692.0,27.31,305.0,-3367.0,1905.0,7.4,1
38,13928.0,2236.0,9948.0,27.35,8296.0,-4496.0,6166.0,7.6000000000000005,1
39,15876.0,-8036.0,4356.0,27.31,3385.0,4823.0,10934.0,7.800000000000001,1
40,23236.0,-1164.0,10824.0,27.35,-11857.0,1347.0,7311.0,8.0,1
41,10128.0,-272.0,8624.0,27.4,14316.0,-2218.0,963.0,8.200000000000001,1
42,5632.0,-20484.0,36.0,27.31,11706.0,-14592.0,9737.0,8.4,1
43,20740.0,-1624.0,8692.0,27.31,-19428.0,1407.0,-12056.0,8.6,1
44,13684.0,-10604.0,2020.0,27.31,3237.0,3703.0,4212.0,8.8,1
45,22188.0,4564.0,-12488.0,27.21,-23443.0,542.0,-32768.0,9.0,1
46,11144.0,4712.0,256.0,27.31,-15996.0,-15767.0,1401.0,9.200000000000001,1
47,16104.0,9428.0,5888.0,27.35,5757.0,1165.0,-1047.0,9.4,1
48,14232.0,19544.0,4904.0,27.35,-4736.0,15666.0,-27774.0,9.600000000000001,1
49,2016.0,6644.0,2112.0,27.31,3466.0,13245.0,1418.0,9.8,1
50,27152.0,5928.0,-1836.0,27.35,-9373.0,-2050.0,32767.0,10.0,1
51,16796.0,8252.0,6668.0,27.26,-3284.0,-9493.0,9725.0,10.200000000000001,1
52,15316.0,1300.0,2788.0,27.35,1692.0,1836.0,3556.0,10.4,1
